BP,precip_raw,precip
17500,192.232676455482,172.882448356212
17600,178.014420996455,164.844422449405
17700,163.796165537429,156.011249142564
17800,149.577910078402,147.512436071152
17900,135.359654619376,139.76811728181
18000,121.141399160349,134.219433522021
18100,110.665164125982,130.528023792301
18200,106.992602878605,128.052417877788
18300,114.352173024817,126.792615778481
18400,125.549005941205,126.748617494381
18500,136.745838857592,127.920423025487
18600,141.100323699254,129.848878867757
18700,139.040106392294,131.80276235947
18800,136.979889085334,132.528028179314
18900,134.919671778374,131.640950050271
19000,132.859454471414,129.141527972342
19100,129.949722548684,126.444983827761
19200,126.531437795731,124.304236025682
19300,121.604831223254,122.619423269065
19400,116.678224650777,121.390545557908
19500,111.7516180783,120.617602892213
19600,114.134882253449,120.385546733556
19700,117.632628371505,120.490377978852
19800,120.131761519157,120.679409409273
19900,122.630894666809,120.870810239976
20000,125.130027814461,120.961829666361
20100,127.629160962114,119.811286419324
20200,127.579750248688,117.307732304575
20300,123.495145527474,113.551028619154
20400,118.592232957798,109.608732038306
20500,112.66181234215,105.554467124908
20600,102.629449783082,101.38823387896
20700,92.5970872240153,97.3648866865688
20800,82.5647246649482,93.9061488332008
20900,83.2079288583303,91.2637540149004
21000,84.5873786804803,89.540453036265
21100,85.9668285026302,89.1464400916364
21200,87.3462783247802,89.9342637323403
21300,88.9077669937936,91.8302993592054
21400,92.1682847747945,93.6181229800689
21500,95.4288025557954,95.2241100320542
21600,98.6893203367962,96.6482605151612
21700,100.475323631055,97.8905744293899
21800,101.525080933599,98.8171521078725
21900,101.086165066966,99.0978964539998
22000,100.647249200333,98.7328074677719
22100,100.2083333337,97.7455501993669
22200,99.7694174670671,96.3821804650501
22300,98.1735437786193,94.7163228639928
22400,94.9757282360679,92.8968447131128
22500,91.7779126935164,91.0147654265933
22600,88.8167476527464,89.1265170453434
22700,86.8416262878863,87.3291869498092
22800,84.8665049230262,85.7384709221719
22900,82.8913835581661,84.5145631478421
23000,81.8264563351373,83.6574636268197
23100,81.3258495212016,83.1435073089265
23200,81.7961165117243,82.8740898265716
23300,82.2663835022469,82.849211179755
23400,82.7366504927695,83.0788835049096
23500,83.2069174832922,83.4965614968338
23600,83.6771844738148,84.0458131146183
23700,84.1474514643374,84.6295509778173
23800,84.6177184548601,85.2477750864306
23900,85.1881068097123,85.9004854404585
24000,86.0032362543794,86.5876820399007
24100,86.8183656990465,87.2304813874492
24200,87.6334951437136,87.8307038772716
24300,88.4486245883807,88.4466019331207
24400,89.2637540330477,89.0297329996495
24500,90.0788834777148,89.5313511217115
24600,90.1051779492996,89.5313511217115
24700,90.1496763625609,89.5313511217115
24800,90.7766990133514,89.5313511217115
24900,91.019417475,89.5313511217115
25000,91.019417475,89.5313511217115
